No.,Time,Source,Destination,Protocol,Length,Info
213,6.129575,10.35.88.127,10.59.108.53,DHCP,342,DHCP Discover - Transaction ID 0x34e11be8
230,6.70354,10.35.88.127,10.59.108.53,DHCP,342,DHCP Discover - Transaction ID 0x8f0b4df7
232,6.791859,10.239.16.243,10.23.138.153,TCP,68,"45094  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1410 WS=64 TSval=3322914439 TSecr=0 SACK_PERM"
238,6.860278,10.239.16.243,10.14.228.245,TCP,68,"45593  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1410 WS=64 TSval=3971674714 TSecr=0 SACK_PERM"
243,6.866365,10.23.138.153,10.239.16.243,TCP,64,"443  >  45094 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1390 WS=256 SACK_PERM TSval=284869414 TSecr=3322914439"
245,6.866438,10.23.138.153,10.79.81.239,TCP,74,"443  >  55172 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1390 WS=256 SACK_PERM TSval=284869414 TSecr=3322914439"
246,6.867122,10.239.16.243,10.23.138.153,TCP,56,45094  >  443 [ACK] Seq=1 Ack=1 Win=132288 Len=0 TSval=3322914514 TSecr=284869414
247,6.867355,10.239.16.243,10.23.138.153,TLSv1.2,293,Client Hello (SNI=pub-ent-usnc-14-t.trouter.teams.microsoft.com)
265,6.926505,10.23.138.153,10.239.16.243,TCP,1444,443  >  45094 [ACK] Seq=1 Ack=238 Win=4194048 Len=1388 TSval=284869478 TSecr=3322914514 [TCP PDU reassembled in 274]
271,6.926729,10.23.138.153,10.239.16.243,TCP,1444,443  >  45094 [ACK] Seq=1389 Ack=238 Win=4194048 Len=1388 TSval=284869478 TSecr=3322914514 [TCP PDU reassembled in 274]
272,6.926731,10.23.138.153,10.239.16.243,TCP,1444,443  >  45094 [ACK] Seq=2777 Ack=238 Win=4194048 Len=1388 TSval=284869478 TSecr=3322914514 [TCP PDU reassembled in 274]
273,6.926733,10.23.138.153,10.239.16.243,TCP,1444,443  >  45094 [ACK] Seq=4165 Ack=238 Win=4194048 Len=1388 TSval=284869478 TSecr=3322914514 [TCP PDU reassembled in 274]
274,6.926735,10.23.138.153,10.239.16.243,TLSv1.2,521,"Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
275,6.926804,10.23.138.153,10.79.81.239,TCP,1454,443  >  55172 [ACK] Seq=1 Ack=238 Win=4194048 Len=1388 TSval=284869478 TSecr=3322914514 [TCP PDU reassembled in 279]
276,6.92683,10.23.138.153,10.79.81.239,TCP,1454,443  >  55172 [ACK] Seq=1389 Ack=238 Win=4194048 Len=1388 TSval=284869478 TSecr=3322914514 [TCP PDU reassembled in 279]
277,6.926845,10.23.138.153,10.79.81.239,TCP,1454,443  >  55172 [ACK] Seq=2777 Ack=238 Win=4194048 Len=1388 TSval=284869478 TSecr=3322914514 [TCP PDU reassembled in 279]
278,6.92686,10.23.138.153,10.79.81.239,TCP,1454,443  >  55172 [ACK] Seq=4165 Ack=238 Win=4194048 Len=1388 TSval=284869478 TSecr=3322914514 [TCP PDU reassembled in 279]
279,6.926874,10.23.138.153,10.79.81.239,TLSv1.2,531,"Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
283,6.92799,10.239.16.243,10.23.138.153,TCP,56,45094  >  443 [ACK] Seq=238 Ack=6018 Win=126208 Len=0 TSval=3322914574 TSecr=284869478
285,6.932371,10.14.228.245,10.239.16.243,TCP,64,"443  >  45593 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1390 WS=256 SACK_PERM TSval=764821472 TSecr=3971674714"
286,6.932445,10.14.228.245,10.79.81.239,TCP,74,"443  >  55174 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1390 WS=256 SACK_PERM TSval=764821472 TSecr=3971674714"
287,6.933293,10.239.16.243,10.14.228.245,TCP,56,45593  >  443 [ACK] Seq=1 Ack=1 Win=132288 Len=0 TSval=3971674787 TSecr=764821472
288,6.933733,10.239.16.243,10.14.228.245,TLSv1.2,293,Client Hello (SNI=pub-ent-ussc-15-t.trouter.teams.microsoft.com)
295,6.960167,10.239.16.243,10.23.138.153,TLSv1.2,163,Client Key Exchange
